ALDER;CIVILSTAND;KØN;TID;OMRÅDE;INDHOLD
I alt;Gift/separeret;I alt;2011K4;Aarhus;100550
I alt;Gift/separeret;I alt;2011K4;Esbjerg;45771
I alt;Gift/separeret;I alt;2011K4;Odense;67127
I alt;Gift/separeret;I alt;2011K4;Hele landet;2183712
I alt;Gift/separeret;I alt;2012K4;København;137880
I alt;Gift/separeret;I alt;2012K4;Aalborg;72319
I alt;Gift/separeret;I alt;2012K4;Aarhus;100745
I alt;Gift/separeret;I alt;2012K4;Esbjerg;45434
I alt;Gift/separeret;I alt;2012K4;Odense;66830
I alt;Gift/separeret;I alt;2012K4;Hele landet;2173196
I alt;Gift/separeret;I alt;2013K4;København;139664
I alt;Gift/separeret;I alt;2013K4;Aalborg;72118
I alt;Gift/separeret;I alt;2013K4;Aarhus;101085
I alt;Gift/separeret;I alt;2013K4;Esbjerg;45218
I alt;Gift/separeret;I alt;2013K4;Odense;66765
I alt;Gift/separeret;I alt;2013K4;Hele landet;2165925
I alt;Gift/separeret;I alt;2014K4;København;139729
I alt;Gift/separeret;I alt;2014K4;Aalborg;71570
I alt;Gift/separeret;I alt;2014K4;Aarhus;100671
I alt;Gift/separeret;I alt;2014K4;Esbjerg;44887
I alt;Gift/separeret;I alt;2014K4;Odense;66195
I alt;Gift/separeret;I alt;2014K4;Hele landet;2148451
I alt;Gift/separeret;I alt;2015K4;København;141141
I alt;Gift/separeret;I alt;2015K4;Aalborg;71546
I alt;Gift/separeret;I alt;2015K4;Aarhus;101000
I alt;Gift/separeret;I alt;2015K4;Esbjerg;44590
I alt;Gift/separeret;I alt;2015K4;Odense;66003
I alt;Gift/separeret;I alt;2015K4;Hele landet;2146756
I alt;Gift/separeret;I alt;2016K4;København;143024
I alt;Gift/separeret;I alt;2016K4;Aalborg;71509
I alt;Gift/separeret;I alt;2016K4;Aarhus;101426
I alt;Gift/separeret;I alt;2016K4;Esbjerg;44371
I alt;Gift/separeret;I alt;2016K4;Odense;65870
I alt;Gift/separeret;I alt;2016K4;Hele landet;2145540
I alt;Gift/separeret;I alt;2017K4;København;145607
I alt;Gift/separeret;I alt;2017K4;Aalborg;71450
I alt;Gift/separeret;I alt;2017K4;Aarhus;102056
I alt;Gift/separeret;I alt;2017K4;Esbjerg;44224
I alt;Gift/separeret;I alt;2017K4;Odense;65712
I alt;Gift/separeret;I alt;2017K4;Hele landet;2145883
I alt;Gift/separeret;I alt;2018K4;København;148172
I alt;Gift/separeret;I alt;2018K4;Aalborg;71398
I alt;Gift/separeret;I alt;2018K4;Aarhus;102462
I alt;Gift/separeret;I alt;2018K4;Esbjerg;44056
I alt;Gift/separeret;I alt;2018K4;Odense;65559
I alt;Gift/separeret;I alt;2018K4;Hele landet;2146813
I alt;Gift/separeret;I alt;2019K4;København;150492
I alt;Gift/separeret;I alt;2019K4;Aalborg;71506
I alt;Gift/separeret;I alt;2019K4;Aarhus;103027
I alt;Gift/separeret;I alt;2019K4;Esbjerg;43737
I alt;Gift/separeret;I alt;2019K4;Odense;65537
I alt;Gift/separeret;I alt;2019K4;Hele landet;2149938
I alt;Gift/separeret;I alt;2020K4;København;150663
I alt;Gift/separeret;I alt;2020K4;Aalborg;71310
I alt;Gift/separeret;I alt;2020K4;Aarhus;102716
I alt;Gift/separeret;I alt;2020K4;Esbjerg;43362
I alt;Gift/separeret;I alt;2020K4;Odense;65049
I alt;Gift/separeret;I alt;2020K4;Hele landet;2138124
I alt;Enke/enkemand;I alt;2008K4;København;20854
I alt;Enke/enkemand;I alt;2008K4;Aalborg;11147
I alt;Enke/enkemand;I alt;2008K4;Aarhus;13049
I alt;Enke/enkemand;I alt;2008K4;Esbjerg;6334
I alt;Enke/enkemand;I alt;2008K4;Odense;10376
I alt;Enke/enkemand;I alt;2008K4;Hele landet;314551
I alt;Enke/enkemand;I alt;2009K4;København;19958
I alt;Enke/enkemand;I alt;2009K4;Aalborg;10905
I alt;Enke/enkemand;I alt;2009K4;Aarhus;12955
I alt;Enke/enkemand;I alt;2009K4;Esbjerg;6285
I alt;Enke/enkemand;I alt;2009K4;Odense;10247
I alt;Enke/enkemand;I alt;2009K4;Hele landet;311126
I alt;Enke/enkemand;I alt;2010K4;København;19099
I alt;Enke/enkemand;I alt;2010K4;Aalborg;10824
I alt;Enke/enkemand;I alt;2010K4;Aarhus;12853
I alt;Enke/enkemand;I alt;2010K4;Esbjerg;6239
I alt;Enke/enkemand;I alt;2010K4;Odense;10092
I alt;Enke/enkemand;I alt;2010K4;Hele landet;308135
I alt;Enke/enkemand;I alt;2011K4;København;18388
I alt;Enke/enkemand;I alt;2011K4;Aalborg;10709
I alt;Enke/enkemand;I alt;2011K4;Aarhus;12641
I alt;Enke/enkemand;I alt;2011K4;Esbjerg;6208
I alt;Enke/enkemand;I alt;2011K4;Odense;9949
I alt;Enke/enkemand;I alt;2011K4;Hele landet;305106
I alt;Enke/enkemand;I alt;2012K4;København;17770
I alt;Enke/enkemand;I alt;2012K4;Aalborg;10566
I alt;Enke/enkemand;I alt;2012K4;Aarhus;12539
I alt;Enke/enkemand;I alt;2012K4;Esbjerg;6182
I alt;Enke/enkemand;I alt;2012K4;Odense;9774
I alt;Enke/enkemand;I alt;2012K4;Hele landet;302436
I alt;Enke/enkemand;I alt;2013K4;København;17012
I alt;Enke/enkemand;I alt;2013K4;Aalborg;10407
I alt;Enke/enkemand;I alt;2013K4;Aarhus;12463
I alt;Enke/enkemand;I alt;2013K4;Esbjerg;6076
I alt;Enke/enkemand;I alt;2013K4;Odense;9632
I alt;Enke/enkemand;I alt;2013K4;Hele landet;299501
I alt;Enke/enkemand;I alt;2014K4;København;16584
I alt;Enke/enkemand;I alt;2014K4;Aalborg;10238
I alt;Enke/enkemand;I alt;2014K4;Aarhus;12358
I alt;Enke/enkemand;I alt;2014K4;Esbjerg;6051
I alt;Enke/enkemand;I alt;2014K4;Odense;9523
I alt;Enke/enkemand;I alt;2014K4;Hele landet;297391
I alt;Enke/enkemand;I alt;2015K4;København;16094
I alt;Enke/enkemand;I alt;2015K4;Aalborg;10148
I alt;Enke/enkemand;I alt;2015K4;Aarhus;12214
I alt;Enke/enkemand;I alt;2015K4;Esbjerg;6025
I alt;Enke/enkemand;I alt;2015K4;Odense;9402
I alt;Enke/enkemand;I alt;2015K4;Hele landet;295150
I alt;Enke/enkemand;I alt;2016K4;København;15720
I alt;Enke/enkemand;I alt;2016K4;Aalborg;10046
I alt;Enke/enkemand;I alt;2016K4;Aarhus;12111
I alt;Enke/enkemand;I alt;2016K4;Esbjerg;5993
I alt;Enke/enkemand;I alt;2016K4;Odense;9283
I alt;Enke/enkemand;I alt;2016K4;Hele landet;293171
I alt;Enke/enkemand;I alt;2017K4;København;15333
I alt;Enke/enkemand;I alt;2017K4;Aalborg;9977
I alt;Enke/enkemand;I alt;2017K4;Aarhus;11955
I alt;Enke/enkemand;I alt;2017K4;Esbjerg;6026
I alt;Enke/enkemand;I alt;2017K4;Odense;9179
I alt;Enke/enkemand;I alt;2017K4;Hele landet;291174
I alt;Enke/enkemand;I alt;2018K4;København;14925
I alt;Enke/enkemand;I alt;2018K4;Aalborg;9865
I alt;Enke/enkemand;I alt;2018K4;Aarhus;11892
I alt;Enke/enkemand;I alt;2018K4;Esbjerg;5955
I alt;Enke/enkemand;I alt;2018K4;Odense;9111
I alt;Enke/enkemand;I alt;2018K4;Hele landet;289227
I alt;Enke/enkemand;I alt;2019K4;København;14679
I alt;Enke/enkemand;I alt;2019K4;Aalborg;9823
I alt;Enke/enkemand;I alt;2019K4;Aarhus;11793
I alt;Enke/enkemand;I alt;2019K4;Esbjerg;5907
I alt;Enke/enkemand;I alt;2019K4;Odense;9089
I alt;Enke/enkemand;I alt;2019K4;Hele landet;288226
I alt;Enke/enkemand;I alt;2020K4;København;14428
I alt;Enke/enkemand;I alt;2020K4;Aalborg;9803
I alt;Enke/enkemand;I alt;2020K4;Aarhus;11744
I alt;Enke/enkemand;I alt;2020K4;Esbjerg;5901
I alt;Enke/enkemand;I alt;2020K4;Odense;9054
I alt;Enke/enkemand;I alt;2020K4;Hele landet;287554
I alt;Fraskilt;I alt;2008K4;København;49836
I alt;Fraskilt;I alt;2008K4;Aalborg;14251
I alt;Fraskilt;I alt;2008K4;Aarhus;22348
I alt;Fraskilt;I alt;2008K4;Esbjerg;8743
I alt;Fraskilt;I alt;2008K4;Odense;15185
I alt;Fraskilt;I alt;2008K4;Hele landet;432156
I alt;Fraskilt;I alt;2009K4;København;49633
I alt;Fraskilt;I alt;2009K4;Aalborg;14580
I alt;Fraskilt;I alt;2009K4;Aarhus;22630
I alt;Fraskilt;I alt;2009K4;Esbjerg;8848
I alt;Fraskilt;I alt;2009K4;Odense;15468
I alt;Fraskilt;I alt;2009K4;Hele landet;439428
I alt;Fraskilt;I alt;2010K4;København;49662
I alt;Fraskilt;I alt;2010K4;Aalborg;14928
I alt;Fraskilt;I alt;2010K4;Aarhus;22891
I alt;Fraskilt;I alt;2010K4;Esbjerg;9042
I alt;Fraskilt;I alt;2010K4;Odense;15675
I alt;Fraskilt;I alt;2010K4;Hele landet;447258
I alt;Fraskilt;I alt;2011K4;København;50062
I alt;Fraskilt;I alt;2011K4;Aalborg;15143
I alt;Fraskilt;I alt;2011K4;Aarhus;23136
I alt;Fraskilt;I alt;2011K4;Esbjerg;9256
I alt;Fraskilt;I alt;2011K4;Odense;15733
I alt;Fraskilt;I alt;2011K4;Hele landet;455846
I alt;Fraskilt;I alt;2012K4;København;50270
I alt;Fraskilt;I alt;2012K4;Aalborg;15525
I alt;Fraskilt;I alt;2012K4;Aarhus;23452
I alt;Fraskilt;I alt;2012K4;Esbjerg;9440
I alt;Fraskilt;I alt;2012K4;Odense;16005
I alt;Fraskilt;I alt;2012K4;Hele landet;466356
I alt;Fraskilt;I alt;2013K4;København;50511
I alt;Fraskilt;I alt;2013K4;Aalborg;15873
I alt;Fraskilt;I alt;2013K4;Aarhus;23794
I alt;Fraskilt;I alt;2013K4;Esbjerg;9659
I alt;Fraskilt;I alt;2013K4;Odense;16296
I alt;Fraskilt;I alt;2013K4;Hele landet;477056
I alt;Fraskilt;I alt;2014K4;København;52260
I alt;Fraskilt;I alt;2014K4;Aalborg;16596
I alt;Fraskilt;I alt;2014K4;Aarhus;24751
I alt;Fraskilt;I alt;2014K4;Esbjerg;10042
I alt;Fraskilt;I alt;2014K4;Odense;17031
I alt;Fraskilt;I alt;2014K4;Hele landet;500795
I alt;Fraskilt;I alt;2015K4;København;52919
I alt;Fraskilt;I alt;2015K4;Aalborg;16802
I alt;Fraskilt;I alt;2015K4;Aarhus;25326
I alt;Fraskilt;I alt;2015K4;Esbjerg;10352
I alt;Fraskilt;I alt;2015K4;Odense;17310
I alt;Fraskilt;I alt;2015K4;Hele landet;513060
I alt;Fraskilt;I alt;2016K4;København;53807
I alt;Fraskilt;I alt;2016K4;Aalborg;17175
I alt;Fraskilt;I alt;2016K4;Aarhus;25852
I alt;Fraskilt;I alt;2016K4;Esbjerg;10586
I alt;Fraskilt;I alt;2016K4;Odense;17562
I alt;Fraskilt;I alt;2016K4;Hele landet;526340
I alt;Fraskilt;I alt;2017K4;København;54336
I alt;Fraskilt;I alt;2017K4;Aalborg;17413
I alt;Fraskilt;I alt;2017K4;Aarhus;26109
I alt;Fraskilt;I alt;2017K4;Esbjerg;10770
I alt;Fraskilt;I alt;2017K4;Odense;17765
I alt;Fraskilt;I alt;2017K4;Hele landet;535372
I alt;Fraskilt;I alt;2018K4;København;54623
I alt;Fraskilt;I alt;2018K4;Aalborg;17662
I alt;Fraskilt;I alt;2018K4;Aarhus;26486
I alt;Fraskilt;I alt;2018K4;Esbjerg;10906
I alt;Fraskilt;I alt;2018K4;Odense;17890
I alt;Fraskilt;I alt;2018K4;Hele landet;542280
I alt;Fraskilt;I alt;2019K4;København;54682
I alt;Fraskilt;I alt;2019K4;Aalborg;17666
I alt;Fraskilt;I alt;2019K4;Aarhus;26647
I alt;Fraskilt;I alt;2019K4;Esbjerg;10880
I alt;Fraskilt;I alt;2019K4;Odense;17925
I alt;Fraskilt;I alt;2019K4;Hele landet;543846
I alt;Fraskilt;I alt;2020K4;København;55063
I alt;Fraskilt;I alt;2020K4;Aalborg;17971
I alt;Fraskilt;I alt;2020K4;Aarhus;27122
I alt;Fraskilt;I alt;2020K4;Esbjerg;11074
I alt;Fraskilt;I alt;2020K4;Odense;18139
I alt;Fraskilt;I alt;2020K4;Hele landet;552419
I alt;I alt;I alt;2008K4;København;516962
I alt;I alt;I alt;2008K4;Aalborg;196138
I alt;I alt;I alt;2008K4;Aarhus;302080
I alt;I alt;I alt;2008K4;Esbjerg;114543
I alt;I alt;I alt;2008K4;Odense;187783
I alt;I alt;I alt;2008K4;Hele landet;5505995
I alt;I alt;I alt;2009K4;København;526918
I alt;I alt;I alt;2009K4;Aalborg;197068
I alt;I alt;I alt;2009K4;Aarhus;307000
I alt;I alt;I alt;2009K4;Esbjerg;114882
I alt;I alt;I alt;2009K4;Odense;188703
I alt;I alt;I alt;2009K4;Hele landet;5532531
I alt;I alt;I alt;2010K4;København;538031
I alt;I alt;I alt;2010K4;Aalborg;198501
I alt;I alt;I alt;2010K4;Aarhus;310653
I alt;I alt;I alt;2010K4;Esbjerg;115258
I alt;I alt;I alt;2010K4;Odense;190147
I alt;I alt;I alt;2010K4;Hele landet;5557709
I alt;I alt;I alt;2011K4;København;548443
I alt;I alt;I alt;2011K4;Aalborg;201005
I alt;I alt;I alt;2011K4;Aarhus;314144
I alt;I alt;I alt;2011K4;Esbjerg;115194
I alt;I alt;I alt;2011K4;Odense;191400
I alt;I alt;I alt;2011K4;Hele landet;5579204
I alt;I alt;I alt;2012K4;København;557920
I alt;I alt;I alt;2012K4;Aalborg;203201
I alt;I alt;I alt;2012K4;Aarhus;318757
I alt;I alt;I alt;2012K4;Esbjerg;115139
I alt;I alt;I alt;2012K4;Odense;193174
I alt;I alt;I alt;2012K4;Hele landet;5599665
I alt;I alt;I alt;2013K4;København;569000
I alt;I alt;I alt;2013K4;Aalborg;205614
I alt;I alt;I alt;2013K4;Aarhus;323644
I alt;I alt;I alt;2013K4;Esbjerg;115046
I alt;I alt;I alt;2013K4;Odense;195598
I alt;I alt;I alt;2013K4;Hele landet;5623501
I alt;I alt;I alt;2014K4;København;579513
I alt;I alt;I alt;2014K4;Aalborg;207609
I alt;I alt;I alt;2014K4;Aarhus;326676
I alt;I alt;I alt;2014K4;Esbjerg;115397
I alt;I alt;I alt;2014K4;Odense;197513
I alt;I alt;I alt;2014K4;Hele landet;5655750
I alt;I alt;I alt;2015K4;København;589699
I alt;I alt;I alt;2015K4;Aalborg;209943
I alt;I alt;I alt;2015K4;Aarhus;330563
I alt;I alt;I alt;2015K4;Esbjerg;115659
I alt;I alt;I alt;2015K4;Odense;198912
I alt;I alt;I alt;2015K4;Hele landet;5699220
I alt;I alt;I alt;2016K4;København;601448
I alt;I alt;I alt;2016K4;Aalborg;212074
I alt;I alt;I alt;2016K4;Aarhus;335728
I alt;I alt;I alt;2016K4;Esbjerg;115957
I alt;I alt;I alt;2016K4;Odense;200917
I alt;I alt;I alt;2016K4;Hele landet;5745526
I alt;I alt;I alt;2017K4;København;611822
I alt;I alt;I alt;2017K4;Aalborg;213467
I alt;I alt;I alt;2017K4;Aarhus;340376
I alt;I alt;I alt;2017K4;Esbjerg;116045
I alt;I alt;I alt;2017K4;Odense;202250
I alt;I alt;I alt;2017K4;Hele landet;5778570
I alt;I alt;I alt;2018K4;København;622698
I alt;I alt;I alt;2018K4;Aalborg;215122
I alt;I alt;I alt;2018K4;Aarhus;345755
I alt;I alt;I alt;2018K4;Esbjerg;115912
I alt;I alt;I alt;2018K4;Odense;204080
I alt;I alt;I alt;2018K4;Hele landet;5806015
I alt;I alt;I alt;2019K4;København;633021
I alt;I alt;I alt;2019K4;Aalborg;217142
I alt;I alt;I alt;2019K4;Aarhus;349977
I alt;I alt;I alt;2019K4;Esbjerg;115565
I alt;I alt;I alt;2019K4;Odense;205297
I alt;I alt;I alt;2019K4;Hele landet;5827463
I alt;I alt;I alt;2020K4;København;637936
I alt;I alt;I alt;2020K4;Aalborg;219310
I alt;I alt;I alt;2020K4;Aarhus;353445
I alt;I alt;I alt;2020K4;Esbjerg;115498
I alt;I alt;I alt;2020K4;Odense;205881
I alt;I alt;I alt;2020K4;Hele landet;5837213
0 år;Ugift;I alt;2008K4;København;8129
0 år;Ugift;I alt;2008K4;Aalborg;2328
0 år;Ugift;I alt;2008K4;Aarhus;3867
0 år;Ugift;I alt;2008K4;Esbjerg;1349
0 år;Ugift;I alt;2008K4;Odense;2432
0 år;Ugift;I alt;2008K4;Hele landet;65538
0 år;Ugift;I alt;2009K4;København;8437
0 år;Ugift;I alt;2009K4;Aalborg;2246
0 år;Ugift;I alt;2009K4;Aarhus;3854
0 år;Ugift;I alt;2009K4;Esbjerg;1239
0 år;Ugift;I alt;2009K4;Odense;2354
0 år;Ugift;I alt;2009K4;Hele landet;63725
0 år;Ugift;I alt;2010K4;København;8910
0 år;Ugift;I alt;2010K4;Aalborg;2278
0 år;Ugift;I alt;2010K4;Aarhus;3979
0 år;Ugift;I alt;2010K4;Esbjerg;1306
0 år;Ugift;I alt;2010K4;Odense;2333
0 år;Ugift;I alt;2010K4;Hele landet;63587
0 år;Ugift;I alt;2011K4;København;8953
0 år;Ugift;I alt;2011K4;Aalborg;2225
0 år;Ugift;I alt;2011K4;Aarhus;3946
0 år;Ugift;I alt;2011K4;Esbjerg;1190
0 år;Ugift;I alt;2011K4;Odense;2204
0 år;Ugift;I alt;2011K4;Hele landet;60673
0 år;Ugift;I alt;2012K4;København;8536
0 år;Ugift;I alt;2012K4;Aalborg;2128
0 år;Ugift;I alt;2012K4;Aarhus;3965
0 år;Ugift;I alt;2012K4;Esbjerg;1156
0 år;Ugift;I alt;2012K4;Odense;2183
0 år;Ugift;I alt;2012K4;Hele landet;58009
0 år;Ugift;I alt;2013K4;København;8696
0 år;Ugift;I alt;2013K4;Aalborg;2124
0 år;Ugift;I alt;2013K4;Aarhus;3868
0 år;Ugift;I alt;2013K4;Esbjerg;1191
0 år;Ugift;I alt;2013K4;Odense;2179
0 år;Ugift;I alt;2013K4;Hele landet;57041
0 år;Ugift;I alt;2014K4;København;8680
0 år;Ugift;I alt;2014K4;Aalborg;2064
0 år;Ugift;I alt;2014K4;Aarhus;3943
0 år;Ugift;I alt;2014K4;Esbjerg;1208
0 år;Ugift;I alt;2014K4;Odense;2213
0 år;Ugift;I alt;2014K4;Hele landet;56587
0 år;Ugift;I alt;2015K4;København;9076
0 år;Ugift;I alt;2015K4;Aalborg;2161
0 år;Ugift;I alt;2015K4;Aarhus;4157
0 år;Ugift;I alt;2015K4;Esbjerg;1165
0 år;Ugift;I alt;2015K4;Odense;2242
0 år;Ugift;I alt;2015K4;Hele landet;57844
0 år;Ugift;I alt;2016K4;København;9616
0 år;Ugift;I alt;2016K4;Aalborg;2462
0 år;Ugift;I alt;2016K4;Aarhus;4578
0 år;Ugift;I alt;2016K4;Esbjerg;1254
0 år;Ugift;I alt;2016K4;Odense;2340
0 år;Ugift;I alt;2016K4;Hele landet;61789
0 år;Ugift;I alt;2017K4;København;9720
0 år;Ugift;I alt;2017K4;Aalborg;2318
0 år;Ugift;I alt;2017K4;Aarhus;4384
0 år;Ugift;I alt;2017K4;Esbjerg;1225
0 år;Ugift;I alt;2017K4;Odense;2192
0 år;Ugift;I alt;2017K4;Hele landet;61431
0 år;Ugift;I alt;2018K4;København;9721
0 år;Ugift;I alt;2018K4;Aalborg;2292
0 år;Ugift;I alt;2018K4;Aarhus;4569
0 år;Ugift;I alt;2018K4;Esbjerg;1199
0 år;Ugift;I alt;2018K4;Odense;2322
0 år;Ugift;I alt;2018K4;Hele landet;62312
0 år;Ugift;I alt;2019K4;København;9866
0 år;Ugift;I alt;2019K4;Aalborg;2409
0 år;Ugift;I alt;2019K4;Aarhus;4510
0 år;Ugift;I alt;2019K4;Esbjerg;1198
0 år;Ugift;I alt;2019K4;Odense;2253
0 år;Ugift;I alt;2019K4;Hele landet;61439
0 år;Ugift;I alt;2020K4;København;9578
0 år;Ugift;I alt;2020K4;Aalborg;2385
0 år;Ugift;I alt;2020K4;Aarhus;4513
0 år;Ugift;I alt;2020K4;Esbjerg;1202
0 år;Ugift;I alt;2020K4;Odense;2309
0 år;Ugift;I alt;2020K4;Hele landet;61381
0 år;Gift/separeret;I alt;2008K4;København;0
0 år;Gift/separeret;I alt;2008K4;Aalborg;0
0 år;Gift/separeret;I alt;2008K4;Aarhus;0
0 år;Gift/separeret;I alt;2008K4;Esbjerg;0
0 år;Gift/separeret;I alt;2008K4;Odense;0
0 år;Gift/separeret;I alt;2008K4;Hele landet;0
0 år;Gift/separeret;I alt;2009K4;København;0
0 år;Gift/separeret;I alt;2009K4;Aalborg;0
0 år;Gift/separeret;I alt;2009K4;Aarhus;0
0 år;Gift/separeret;I alt;2009K4;Esbjerg;0
0 år;Gift/separeret;I alt;2009K4;Odense;0
0 år;Gift/separeret;I alt;2009K4;Hele landet;0
0 år;Gift/separeret;I alt;2010K4;København;0
0 år;Gift/separeret;I alt;2010K4;Aalborg;0
0 år;Gift/separeret;I alt;2010K4;Aarhus;0
0 år;Gift/separeret;I alt;2010K4;Esbjerg;0
0 år;Gift/separeret;I alt;2010K4;Odense;0
0 år;Gift/separeret;I alt;2010K4;Hele landet;0
0 år;Gift/separeret;I alt;2011K4;København;0
0 år;Gift/separeret;I alt;2011K4;Aalborg;0
0 år;Gift/separeret;I alt;2011K4;Aarhus;0
0 år;Gift/separeret;I alt;2011K4;Esbjerg;0
0 år;Gift/separeret;I alt;2011K4;Odense;0
0 år;Gift/separeret;I alt;2011K4;Hele landet;0
0 år;Gift/separeret;I alt;2012K4;København;0
0 år;Gift/separeret;I alt;2012K4;Aalborg;0
0 år;Gift/separeret;I alt;2012K4;Aarhus;0
0 år;Gift/separeret;I alt;2012K4;Esbjerg;0
0 år;Gift/separeret;I alt;2012K4;Odense;0
0 år;Gift/separeret;I alt;2012K4;Hele landet;0
0 år;Gift/separeret;I alt;2013K4;København;0
0 år;Gift/separeret;I alt;2013K4;Aalborg;0
0 år;Gift/separeret;I alt;2013K4;Aarhus;0
0 år;Gift/separeret;I alt;2013K4;Esbjerg;0
0 år;Gift/separeret;I alt;2013K4;Odense;0
0 år;Gift/separeret;I alt;2013K4;Hele landet;0
